n,m,x,p,xs
3,4,16,0.114,8
3,4,17,0.057,7
3,4,18,0.029,6
3,4,19,0,5
3,5,18,0.125,9
3,5,19,0.071,8
3,5,20,0.036,7
3,5,21,0.018,6
3,5,22,0,5
3,6,20,0.131,10
3,6,21,0.083,9
3,6,22,0.048,8
3,6,23,0.024,7
3,6,24,0.012,6
3,6,25,0,5
3,7,22,0.133,11
3,7,23,0.092,10
3,7,24,0.058,9
3,7,25,0.033,8
3,7,26,0.017,7
3,7,27,0.008,6
3,7,28,0,5
3,8,24,0.139,12
3,8,25,0.097,11
3,8,26,0.067,10
3,8,27,0.042,9
3,8,28,0.024,8
3,8,29,0.012,7
3,8,30,0.006,6
3,9,27,0.105,12
3,9,28,0.073,11
3,9,29,0.05,10
3,9,30,0.032,9
3,9,31,0.018,8
3,9,32,0.009,7
3,9,33,0.005,6
3,10,29,0.108,13
3,10,30,0.08,12
3,10,31,0.056,11
3,10,32,0.038,10
3,10,33,0.024,9
3,10,34,0.014,8
3,10,35,0.007,7
4,4,22,0.171,14
4,4,23,0.1,13
4,4,24,0.057,12
4,4,25,0.029,11
4,4,26,0.014,10
4,4,27,0,9
4,5,25,0.143,15
4,5,26,0.095,14
4,5,27,0.056,13
4,5,28,0.032,12
4,5,29,0.016,11
4,5,30,0.008,10
4,5,31,0,9
4,6,28,0.129,16
4,6,29,0.086,15
4,6,30,0.057,14
4,6,31,0.033,13
4,6,32,0.019,12
4,6,33,0.01,11
4,6,34,0.005,10
4,7,31,0.115,17
4,7,32,0.082,16
4,7,33,0.055,15
4,7,34,0.036,14
4,7,35,0.021,13
4,7,36,0.012,12
4,7,37,0.006,11
4,7,38,0.003,10
4,8,34,0.107,18
4,8,35,0.077,17
4,8,36,0.055,16
4,8,37,0.036,15
4,8,38,0.024,14
4,8,39,0.014,13
4,8,40,0.008,12
4,8,41,0.004,11
4,9,36,0.13,20
4,9,37,0.099,19
4,9,38,0.074,18
4,9,39,0.053,17
4,9,40,0.038,16
4,9,41,0.025,15
4,9,42,0.017,14
4,9,43,0.01,13
4,9,44,0.006,12
4,10,39,0.12,21
4,10,40,0.094,20
4,10,41,0.071,19
4,10,42,0.053,18
4,10,43,0.038,17
4,10,44,0.027,16
4,10,45,0.018,15
4,10,46,0.012,14
4,10,47,0.007,13
5,5,34,0.111,21
5,5,35,0.075,20
5,5,36,0.048,19
5,5,37,0.028,18
5,5,38,0.016,17
5,5,39,0.008,16
5,5,40,0.004,15
5,6,37,0.123,23
5,6,38,0.089,22
5,6,39,0.063,21
5,6,40,0.041,20
5,6,41,0.026,19
5,6,42,0.015,18
5,6,43,0.009,17
5,6,44,0.004,18
5,7,41,0.101,24
5,7,42,0.074,23
5,7,43,0.053,22
5,7,44,0.037,21
5,7,45,0.024,20
5,7,46,0.015,19
5,7,47,0.009,18
5,7,48,0.005,17
5,8,44,0.111,26
5,8,45,0.085,25
5,8,46,0.064,24
5,8,47,0.047,23
5,8,48,0.033,22
5,8,49,0.023,21
5,8,50,0.015,20
5,8,51,0.009,19
5,8,52,0.005,18
5,9,47,0.12,28
5,9,48,0.095,27
5,9,49,0.073,26
5,9,50,0.056,25
5,9,51,0.041,24
5,9,52,0.03,23
5,9,53,0.021,22
5,9,54,0.014,21
5,9,55,0.009,20
5,9,56,0.006,19
5,10,51,0.103,29
5,10,52,0.082,28
5,10,53,0.065,27
5,10,54,0.05,26
5,10,55,0.038,25
5,10,56,0.028,24
5,10,57,0.02,23
5,10,58,0.014,22
5,10,59,0.01,21
5,10,60,0.006,20
6,6,47,0.12,31
6,6,48,0.09,30
6,6,49,0.066,29
6,6,50,0.047,28
6,6,51,0.032,27
6,6,52,0.021,26
6,6,53,0.013,25
6,6,54,0.008,24
6,7,51,0.117,33
6,7,52,0.09,32
6,7,53,0.069,31
6,7,54,0.051,30
6,7,55,0.037,29
6,7,56,0.026,28
6,7,57,0.017,27
6,7,58,0.011,26
6,7,59,0.007,25
6,8,55,0.114,35
6,8,56,0.091,34
6,8,57,0.071,33
6,8,58,0.054,32
6,8,59,0.041,31
6,8,60,0.03,30
6,8,61,0.021,29
6,8,62,0.015,28
6,8,63,0.01,27
6,9,59,0.112,37
6,9,60,0.091,36
6,9,61,0.072,35
6,9,62,0.057,34
6,9,63,0.044,33
6,9,64,0.033,32
6,9,65,0.025,31
6,9,66,0.018,30
6,9,67,0.013,29
6,9,68,0.009,28
6,10,63,0.11,39
6,10,64,0.09,38
6,10,65,0.074,37
6,10,66,0.059,36
6,10,67,0.047,35
6,10,68,0.036,34
6,10,69,0.028,33
6,10,70,0.021,32
6,10,71,0.016,31
6,10,72,0.011,30
6,10,73,0.008,29
7,7,61,0.159,44
7,7,62,0.13,43
7,7,63,0.104,42
7,7,64,0.082,41
7,7,65,0.064,40
7,7,66,0.049,39
7,7,67,0.036,38
7,7,68,0.027,37
7,7,69,0.019,36
7,7,70,0.013,35
7,7,71,0.009,34
7,7,72,0.006,33
7,8,65,0.168,47
7,8,66,0.14,46
7,8,67,0.116,45
7,8,68,0.095,44
7,8,69,0.076,43
7,8,70,0.06,42
7,8,71,0.047,41
7,8,72,0.036,40
7,8,73,0.027,39
7,8,74,0.02,38
7,8,75,0.014,37
7,8,76,0.01,36
7,8,77,0.007,35
7,9,70,0.15,49
7,9,71,0.126,48
7,9,72,0.105,47
7,9,73,0.087,46
7,9,74,0.071,45
7,9,75,0.057,44
7,9,76,0.045,43
7,9,77,0.036,42
7,9,78,0.027,41
7,9,79,0.021,40
7,9,80,0.016,39
7,9,81,0.011,38
7,9,82,0.008,37
7,9,83,0.006,36
7,10,74,0.157,52
7,10,75,0.135,51
7,10,76,0.115,50
7,10,77,0.097,49
7,10,78,0.081,48
7,10,79,0.067,47
7,10,80,0.054,46
7,10,81,0.044,45
7,10,82,0.035,44
7,10,83,0.028,43
7,10,84,0.022,42
7,10,85,0.017,41
7,10,86,0.012,40
7,10,87,0.009,39
8,8,79,0.139,57
8,8,80,0.117,56
8,8,81,0.097,55
8,8,82,0.08,54
8,8,83,0.065,53
8,8,84,0.052,52
8,8,85,0.041,51
8,8,86,0.032,50
8,8,87,0.025,49
8,8,88,0.019,48
8,8,89,0.014,47
8,8,90,0.01,46
8,8,91,0.007,45
8,8,92,0.005,44
8,9,84,0.138,60
8,9,85,0.118,59
8,9,86,0.1,58
8,9,87,0.084,57
8,9,88,0.069,56
8,9,89,0.057,55
8,9,90,0.046,54
8,9,91,0.037,53
8,9,92,0.03,52
8,9,93,0.023,51
8,9,84,0.018,50
8,9,95,0.014,49
8,9,96,0.01,48
8,9,97,0.008,47
8,10,89,0.137,63
8,10,90,0.118,62
8,10,91,0.102,61
8,10,92,0.086,60
8,10,93,0.073,59
8,10,94,0.061,58
8,10,95,0.051,57
8,10,96,0.042,56
8,10,97,0.034,55
8,10,98,0.027,54
8,10,99,0.022,53
8,10,100,0.017,52
8,10,101,0.013,51
8,10,102,0.01,50
9,9,98,0.149,73
9,9,99,0.129,72
9,9,100,0.111,71
9,9,101,0.095,70
9,9,102,0.081,69
9,9,103,0.068,68
9,9,104,0.057,67
9,9,105,0.047,66
9,9,106,0.039,65
9,9,107,0.031,64
9,9,108,0.025,63
9,9,109,0.02,62
9,9,110,0.016,61
9,9,111,0.012,60
9,9,112,0.009,59
9,9,113,0.007,58
9,10,104,0.139,76
9,10,105,0.121,75
9,10,106,0.106,74
9,10,107,0.091,73
9,10,108,0.078,72
9,10,109,0.067,71
9,10,110,0.056,70
9,10,111,0.047,69
9,10,112,0.039,68
9,10,113,0.033,67
9,10,114,0.027,66
9,10,115,0.022,65
9,10,116,0.017,64
9,10,117,0.014,63
9,10,118,0.011,62
9,10,119,0.009,61
10,10,119,0.157,91
10,10,120,0.14,90
10,10,121,0.124,89
10,10,122,0.109,88
10,10,123,0.095,87
10,10,124,0.083,86
10,10,125,0.072,85
10,10,126,0.062,84
10,10,127,0.053,83
10,10,128,0.045,82
10,10,129,0.038,81
10,10,130,0.032,80
10,10,131,0.026,79
10,10,132,0.022,78
10,10,133,0.018,77
10,10,134,0.014,76
10,10,135,0.012,75
10,10,136,0.009,74
10,10,137,0.007,73
10,10,138,0.006,72
